plan_id,case_id,feature_id,method,feature_name,material,recognized_geometry,selected_tool_or_holder,operation_sequence,cutting_parameters,manufacturing_reasoning_notes,plan_text,cam_pass,expert_acceptable,initial_graph_violation,final_unresolved_failure
F03_C03_vanilla,F03_C03,F03,Vanilla MLLM,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F03_C03 (asymmetric step pocket), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation.",No,No,Yes,Yes
F03_C03_rag,F03_C03,F03,RAG-based Planner,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,retrieved template: planar/cavity milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F03_C03 (asymmetric step pocket), the RAG-based Planner plan selects D6 flat end mill; proposes retrieved template: planar/cavity milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C03_react,F03_C03,F03,Standard ReAct Agent,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,stepwise reasoning route: planar/cavity milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F03_C03 (asymmetric step pocket), the Standard ReAct Agent plan selects D6 flat end mill; proposes stepwise reasoning route: planar/cavity milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: graph-constraint violation; holder collision risk; overcut risk; tool-workpiece interference risk.",No,No,Yes,Yes
F03_C03_kgmcf,F03_C03,F03,KGMCF (Ours),asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F03_C03 (asymmetric step pocket), the KGMCF (Ours) plan selects D6 flat end mill; proposes Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C04_vanilla,F03_C04,F03,Vanilla MLLM,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F03_C04 (asymmetric step pocket), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C04_rag,F03_C04,F03,RAG-based Planner,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,retrieved template: planar/cavity milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F03_C04 (asymmetric step pocket), the RAG-based Planner plan selects D6 flat end mill; proposes retrieved template: planar/cavity milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C04_react,F03_C04,F03,Standard ReAct Agent,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,stepwise reasoning route: planar/cavity milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F03_C04 (asymmetric step pocket), the Standard ReAct Agent plan selects D6 flat end mill; proposes stepwise reasoning route: planar/cavity milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: graph-constraint violation; invalid CAM generation.",No,No,Yes,Yes
F03_C04_kgmcf,F03_C04,F03,KGMCF (Ours),asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F03_C04 (asymmetric step pocket), the KGMCF (Ours) plan selects D6 flat end mill; proposes Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C05_vanilla,F03_C05,F03,Vanilla MLLM,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F03_C05 (asymmetric step pocket), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C05_rag,F03_C05,F03,RAG-based Planner,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,retrieved similar standard tool,retrieved template: planar/cavity milling; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F03_C05 (asymmetric step pocket), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: planar/cavity milling; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C05_react,F03_C05,F03,Standard ReAct Agent,asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,stepwise reasoning route: planar/cavity milling with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F03_C05 (asymmetric step pocket), the Standard ReAct Agent plan selects D6 flat end mill; proposes stepwise reasoning route: planar/cavity milling with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F03_C05_kgmcf,F03_C05,F03,KGMCF (Ours),asymmetric step pocket,7075-Al,asymmetric step and pocket boundary,D6 flat end mill,Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F03_C05 (asymmetric step pocket), the KGMCF (Ours) plan selects D6 flat end mill; proposes Aero-MPKG-grounded route: planar/cavity milling with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C01_vanilla,F04_C01,F04,Vanilla MLLM,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F04_C01 (shallow curved pocket), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; invalid CAM generation; overcut risk; tool-workpiece interference risk.",No,No,Yes,Yes
F04_C01_rag,F04_C01,F04,RAG-based Planner,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,retrieved similar standard tool,retrieved template: surface contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F04_C01 (shallow curved pocket), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: surface contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F04_C01_react,F04_C01,F04,Standard ReAct Agent,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,stepwise reasoning route: surface contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F04_C01 (shallow curved pocket), the Standard ReAct Agent plan selects D6 ball-end mill; proposes stepwise reasoning route: surface contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C01_kgmcf,F04_C01,F04,KGMCF (Ours),shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F04_C01 (shallow curved pocket), the KGMCF (Ours) plan selects D6 ball-end mill; proposes Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. Potential issues recorded: graph-constraint violation.",No,No,Yes,No
F04_C02_vanilla,F04_C02,F04,Vanilla MLLM,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F04_C02 (shallow curved pocket), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F04_C02_rag,F04_C02,F04,RAG-based Planner,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,retrieved similar standard tool,retrieved template: surface contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F04_C02 (shallow curved pocket), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: surface contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation.",No,No,Yes,Yes
F04_C02_react,F04_C02,F04,Standard ReAct Agent,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,stepwise reasoning route: surface contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F04_C02 (shallow curved pocket), the Standard ReAct Agent plan selects D6 ball-end mill; proposes stepwise reasoning route: surface contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C02_kgmcf,F04_C02,F04,KGMCF (Ours),shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F04_C02 (shallow curved pocket), the KGMCF (Ours) plan selects D6 ball-end mill; proposes Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C03_vanilla,F04_C03,F04,Vanilla MLLM,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F04_C03 (shallow curved pocket), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation.",No,No,Yes,Yes
F04_C03_rag,F04_C03,F04,RAG-based Planner,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,retrieved similar standard tool,retrieved template: surface contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F04_C03 (shallow curved pocket), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: surface contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C03_react,F04_C03,F04,Standard ReAct Agent,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,stepwise reasoning route: surface contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F04_C03 (shallow curved pocket), the Standard ReAct Agent plan selects D6 ball-end mill; proposes stepwise reasoning route: surface contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: graph-constraint violation; tool-workpiece interference risk.",No,No,Yes,Yes
F04_C03_kgmcf,F04_C03,F04,KGMCF (Ours),shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F04_C03 (shallow curved pocket), the KGMCF (Ours) plan selects D6 ball-end mill; proposes Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C04_vanilla,F04_C04,F04,Vanilla MLLM,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,default cavity tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F04_C04 (shallow curved pocket), the Vanilla MLLM plan selects default cavity tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; holder collision risk; invalid CAM generation.",No,No,Yes,Yes
F04_C04_rag,F04_C04,F04,RAG-based Planner,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,retrieved similar standard tool,retrieved template: surface contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F04_C04 (shallow curved pocket), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: surface contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C04_react,F04_C04,F04,Standard ReAct Agent,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,nearby catalog tool,stepwise reasoning route: surface contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F04_C04 (shallow curved pocket), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: surface contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C04_kgmcf,F04_C04,F04,KGMCF (Ours),shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F04_C04 (shallow curved pocket), the KGMCF (Ours) plan selects D6 ball-end mill; proposes Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C05_vanilla,F04_C05,F04,Vanilla MLLM,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F04_C05 (shallow curved pocket), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C05_rag,F04_C05,F04,RAG-based Planner,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,retrieved template: surface contour finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F04_C05 (shallow curved pocket), the RAG-based Planner plan selects D6 ball-end mill; proposes retrieved template: surface contour finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F04_C05_react,F04_C05,F04,Standard ReAct Agent,shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,stepwise reasoning route: surface contour finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F04_C05 (shallow curved pocket), the Standard ReAct Agent plan selects D6 ball-end mill; proposes stepwise reasoning route: surface contour finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F04_C05_kgmcf,F04_C05,F04,KGMCF (Ours),shallow curved pocket,7075-Al,shallow curved pocket with open boundary,D6 ball-end mill,Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F04_C05 (shallow curved pocket), the KGMCF (Ours) plan selects D6 ball-end mill; proposes Aero-MPKG-grounded route: surface contour finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C01_vanilla,F05_C01,F05,Vanilla MLLM,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F05_C01 (deep special-shaped groove), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: graph-constraint violation; invalid CAM generation.",No,No,Yes,Yes
F05_C01_rag,F05_C01,F05,RAG-based Planner,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,retrieved similar standard tool,retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F05_C01 (deep special-shaped groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C01_react,F05_C01,F05,Standard ReAct Agent,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,nearby catalog tool,stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F05_C01 (deep special-shaped groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C01_kgmcf,F05_C01,F05,KGMCF (Ours),deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F05_C01 (deep special-shaped groove), the KGMCF (Ours) plan selects long-reach D4 bull-nose mill; proposes Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C02_vanilla,F05_C02,F05,Vanilla MLLM,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F05_C02 (deep special-shaped groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk.",No,No,Yes,Yes
F05_C02_rag,F05_C02,F05,RAG-based Planner,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F05_C02 (deep special-shaped groove), the RAG-based Planner plan selects long-reach D4 bull-nose mill; proposes retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F05_C02_react,F05_C02,F05,Standard ReAct Agent,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F05_C02 (deep special-shaped groove), the Standard ReAct Agent plan selects long-reach D4 bull-nose mill; proposes stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C02_kgmcf,F05_C02,F05,KGMCF (Ours),deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F05_C02 (deep special-shaped groove), the KGMCF (Ours) plan selects long-reach D4 bull-nose mill; proposes Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C03_vanilla,F05_C03,F05,Vanilla MLLM,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F05_C03 (deep special-shaped groove), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C03_rag,F05_C03,F05,RAG-based Planner,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,retrieved similar standard tool,retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F05_C03 (deep special-shaped groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk; invalid CAM generation; tool-workpiece interference risk.",No,No,Yes,Yes
F05_C03_react,F05_C03,F05,Standard ReAct Agent,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F05_C03 (deep special-shaped groove), the Standard ReAct Agent plan selects long-reach D4 bull-nose mill; proposes stepwise reasoning route: trochoidal roughing + rest finishing with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C03_kgmcf,F05_C03,F05,KGMCF (Ours),deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,long-reach D4 bull-nose mill,Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F05_C03 (deep special-shaped groove), the KGMCF (Ours) plan selects long-reach D4 bull-nose mill; proposes Aero-MPKG-grounded route: trochoidal roughing + rest finishing with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C04_vanilla,F05_C04,F05,Vanilla MLLM,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F05_C04 (deep special-shaped groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F05_C04_rag,F05_C04,F05,RAG-based Planner,deep special-shaped groove,Ti-6Al-4V,deep groove with long overhang risk,retrieved similar standard tool,retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F05_C04 (deep special-shaped groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: trochoidal roughing + rest finishing; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. Potential issues recorded: expert hard veto; graph-constraint violation.",No,No,Yes,Yes
